Tiempo de autenticación,Tiempo de actualización,Perdida,Uso de CPU,Numero thread
423644,191581,false,-1.0,0,
676804,180177,false,-1.0,1,
677945,170484,false,-1.0,2,
550224,229213,false,-1.0,3,
908298,395705,false,-1.0,4,
973298,464127,false,-1.0,5,
1051984,415092,false,-1.0,6,
866675,312459,false,-1.0,7,
445881,298774,false,-1.0,8,
588426,313599,false,-1.0,9,
728691,391144,false,-1.0,10,
561628,434477,false,-1.0,11,
385442,172195,false,-1.0,12,
492636,378030,false,-1.0,13,
456714,329565,false,-1.0,14,
574171,541101,false,-1.0,15,
400267,288512,false,-1.0,16,
404828,294213,false,-1.0,17,
393995,4600218,false,-1.0,18,
441320,213247,false,-1.0,19,
319871,457285,false,-1.0,20,
380310,286800,false,-1.0,21,
380310,283950,false,-1.0,22,
494347,146537,false,-1.0,23,
364916,267415,false,-1.0,24,
383162,286231,false,-1.0,25,
367196,405398,false,-1.0,26,
571322,274257,false,-1.0,27,
360925,268555,false,-1.0,28,
396846,277678,false,-1.0,29,
358074,261143,false,-1.0,30,
595269,356363,false,-1.0,31,
352942,275968,false,-1.0,32,
388293,273116,false,-1.0,33,
390574,152238,false,-1.0,34,
299915,439610,false,-1.0,35,
303336,148247,false,-1.0,36,
317021,148247,false,-1.0,37,
363775,266845,false,-1.0,38,
636322,3669683,false,-1.0,39,
1213344,296494,false,-1.0,40,
1731069,310178,false,-1.0,41,
859832,309608,false,-1.0,42,
867244,466978,false,-1.0,43,
768034,277108,false,-1.0,44,
783999,304476,false,-1.0,45,
401407,311889,false,-1.0,46,
1014352,455574,false,-1.0,47,
941368,371758,false,-1.0,48,
809657,352372,false,-1.0,49,
444741,424784,false,-1.0,50,
7430595,275968,false,-1.0,53,
360924,261143,false,-1.0,54,
376889,147106,false,-1.0,55,
392284,266274,false,-1.0,56,
352942,257722,false,-1.0,57,
4409208,551935,false,-1.0,58,
302195,153949,false,-1.0,59,
388293,274827,false,-1.0,60,
501189,275967,false,-1.0,61,
425354,405969,false,-1.0,62,
501189,380310,false,-1.0,63,
521716,407110,false,-1.0,64,
437328,197283,false,-1.0,65,
440749,160790,false,-1.0,66,
514873,203555,false,-1.0,67,
485794,409960,false,-1.0,68,
1219616,375179,false,-1.0,69,
677374,352371,false,-1.0,70,
590137,370047,false,-1.0,71,
1071940,289652,false,-1.0,72,
524566,370617,false,-1.0,73,
898605,273116,false,-1.0,74,
478382,550794,false,-1.0,75,
372898,160221,false,-1.0,76,
313600,201844,false,-1.0,77,
317021,149388,false,-1.0,78,
405398,290793,false,-1.0,79,
448162,314740,false,-1.0,80,
1510409,305047,false,-1.0,81,
678515,365486,false,-1.0,82,
2757964,353512,false,-1.0,83,
382021,261713,false,-1.0,84,
583865,555356,false,-1.0,85,
389433,3506041,false,-1.0,86,
2074317,367766,false,-1.0,87,
527988,259432,false,-1.0,88,
564478,206975,false,-1.0,89,
417943,198993,false,-1.0,90,
409960,485224,false,-1.0,91,
423074,211537,false,-1.0,92,
417372,386582,false,-1.0,93,
409389,204695,false,-1.0,94,
390004,265134,false,-1.0,95,
299345,146537,false,-1.0,96,
316450,146536,false,-1.0,97,
499478,314740,false,-1.0,98,
407680,291362,false,-1.0,99,
