Tiempo de autenticación,Tiempo de actualización,Perdida,Uso de CPU,Numero thread
721279,756630,false,-1.0,dlg 0: ,
544522,249169,false,-1.0,dlg 1: ,
684787,367196,false,-1.0,dlg 2: ,
328994,241757,false,-1.0,dlg 3: ,
502899,152238,false,-1.0,dlg 4: ,
431626,248029,false,-1.0,dlg 5: ,
351801,245748,false,-1.0,dlg 6: ,
328994,241757,false,-1.0,dlg 7: ,
748647,1077071,false,-1.0,dlg 8: ,
343248,246318,false,-1.0,dlg 9: ,
668822,250879,false,-1.0,dlg 10: ,
407679,259432,false,-1.0,dlg 11: ,
328424,243468,false,-1.0,dlg 12: ,
538251,156230,false,-1.0,dlg 13: ,
927114,154519,false,-1.0,dlg 14: ,
326713,242897,false,-1.0,dlg 15: ,
262853,163072,false,-1.0,dlg 16: ,
420793,462987,false,-1.0,dlg 17: ,
372328,232063,false,-1.0,dlg 18: ,
1804052,144826,false,-1.0,dlg 19: ,
520575,150528,false,-1.0,dlg 20: ,
413951,236055,false,-1.0,dlg 21: ,
317591,147677,false,-1.0,dlg 22: ,
291362,285661,false,-1.0,dlg 23: ,
444741,232634,false,-1.0,dlg 24: ,
294213,263424,false,-1.0,dlg 25: ,
291363,156800,false,-1.0,dlg 26: ,
297635,229783,false,-1.0,dlg 27: ,
314169,154519,false,-1.0,dlg 28: ,
709304,400267,false,-1.0,dlg 29: ,
298204,224081,false,-1.0,dlg 30: ,
304477,229783,false,-1.0,dlg 31: ,
713866,529698,false,-1.0,dlg 32: ,
1963702,673953,false,-1.0,dlg 33: ,
295924,245748,false,-1.0,dlg 34: ,
310748,225221,false,-1.0,dlg 35: ,
299915,229212,false,-1.0,dlg 36: ,
314739,224652,false,-1.0,dlg 37: ,
306187,151668,false,-1.0,dlg 38: ,
306188,148247,false,-1.0,dlg 39: ,
3675955,290222,false,-1.0,dlg 40: ,
525136,372898,false,-1.0,dlg 41: ,
307327,226932,false,-1.0,dlg 42: ,
463557,243467,false,-1.0,dlg 43: ,
527988,383161,false,-1.0,dlg 44: ,
542242,531979,false,-1.0,dlg 45: ,
582725,1908965,false,-1.0,dlg 46: ,
520574,235485,false,-1.0,dlg 47: ,
654567,2137607,false,-1.0,dlg 48: ,
623778,416802,false,-1.0,dlg 49: ,
580444,496627,false,-1.0,dlg 50: ,
498908,10233033,false,-1.0,dlg 51: ,
395135,234914,false,-1.0,dlg 52: ,
290222,225792,false,-1.0,dlg 53: ,
5247373,396276,false,-1.0,dlg 54: ,
1728788,1686024,false,-1.0,dlg 55: ,
527417,1938615,false,-1.0,dlg 56: ,
332985,243467,false,-1.0,dlg 57: ,
299344,283950,false,-1.0,dlg 58: ,
552505,1617032,false,-1.0,dlg 59: ,
573032,446452,false,-1.0,dlg 60: ,
294213,231494,false,-1.0,dlg 61: ,
459565,225792,false,-1.0,dlg 62: ,
741235,361495,false,-1.0,dlg 63: ,
778867,421934,false,-1.0,dlg 64: ,
2704937,481233,false,-1.0,dlg 65: ,
522285,531408,false,-1.0,dlg 66: ,
291362,237766,false,-1.0,dlg 67: ,
360354,166493,false,-1.0,dlg 68: ,
1770411,384872,false,-1.0,dlg 69: ,
505180,5502814,false,-1.0,dlg 70: ,
481232,335836,false,-1.0,dlg 71: ,
501189,462986,false,-1.0,dlg 72: ,
488075,362635,false,-1.0,dlg 73: ,
3669113,379171,false,-1.0,dlg 74: ,
478952,450442,false,-1.0,dlg 75: ,
411670,750358,false,-1.0,dlg 76: ,
455005,372898,false,-1.0,dlg 77: ,
293073,229213,false,-1.0,dlg 78: ,
525136,383731,false,-1.0,dlg 79: ,
606102,413952,false,-1.0,dlg 80: ,
317020,225221,false,-1.0,dlg 81: ,
15007726,391144,false,-1.0,dlg 82: ,
516013,547943,false,-1.0,dlg 83: ,
598690,426496,false,-1.0,dlg 84: ,
545093,370617,false,-1.0,dlg 85: ,
530268,363775,false,-1.0,dlg 86: ,
568470,403118,false,-1.0,dlg 87: ,
492066,359784,false,-1.0,dlg 88: ,
597549,387152,false,-1.0,dlg 89: ,
478952,346100,false,-1.0,dlg 90: ,
525137,444170,false,-1.0,dlg 91: ,
372328,254870,false,-1.0,dlg 92: ,
427635,888341,false,-1.0,dlg 93: ,
838735,552505,false,-1.0,dlg 94: ,
955053,660269,false,-1.0,dlg 95: ,
293643,202414,false,-1.0,dlg 96: ,
289651,244038,false,-1.0,dlg 97: ,
569610,172194,false,-1.0,dlg 98: ,
643734,234344,false,-1.0,dlg 99: ,
289081,330705,false,-1.0,dlg 100: ,
486934,587286,false,-1.0,dlg 101: ,
651717,608382,false,-1.0,dlg 102: ,
277678,219519,false,-1.0,dlg 103: ,
284520,235485,false,-1.0,dlg 104: ,
571892,166493,false,-1.0,dlg 105: ,
679085,428206,false,-1.0,dlg 106: ,
548514,353512,false,-1.0,dlg 107: ,
280529,1419180,false,-1.0,dlg 108: ,
432197,221800,false,-1.0,dlg 109: ,
222940,225222,false,-1.0,dlg 110: ,
677945,594699,false,-1.0,dlg 111: ,
252590,269696,false,-1.0,dlg 112: ,
665401,435048,false,-1.0,dlg 113: ,
277678,211537,false,-1.0,dlg 114: ,
283950,239476,false,-1.0,dlg 115: ,
502899,379741,false,-1.0,dlg 116: ,
612945,1180844,false,-1.0,dlg 117: ,
273686,143116,false,-1.0,dlg 118: ,
530838,235484,false,-1.0,dlg 119: ,
526847,371758,false,-1.0,dlg 120: ,
590708,393995,false,-1.0,dlg 121: ,
440749,403118,false,-1.0,dlg 122: ,
279958,217239,false,-1.0,dlg 123: ,
486934,384872,false,-1.0,dlg 124: ,
323863,216669,false,-1.0,dlg 125: ,
287371,216668,false,-1.0,dlg 126: ,
623207,2940422,false,-1.0,dlg 127: ,
662550,370047,false,-1.0,dlg 128: ,
505180,359784,false,-1.0,dlg 129: ,
521715,346100,false,-1.0,dlg 130: ,
2756253,7017784,false,-1.0,dlg 131: ,
294213,273687,false,-1.0,dlg 132: ,
467548,533689,false,-1.0,dlg 133: ,
270266,272546,false,-1.0,dlg 134: ,
291362,220660,false,-1.0,dlg 135: ,
277108,246888,false,-1.0,dlg 136: ,
541102,343248,false,-1.0,dlg 137: ,
224651,224081,false,-1.0,dlg 138: ,
270266,211537,false,-1.0,dlg 139: ,
254871,217238,false,-1.0,dlg 140: ,
353512,222941,false,-1.0,dlg 141: ,
358644,216669,false,-1.0,dlg 142: ,
270836,210966,false,-1.0,dlg 143: ,
466408,366626,false,-1.0,dlg 144: ,
495487,270836,false,-1.0,dlg 145: ,
526277,405399,false,-1.0,dlg 146: ,
468119,148817,false,-1.0,dlg 147: ,
461846,468119,false,-1.0,dlg 148: ,
397416,668252,false,-1.0,dlg 149: ,
504040,362635,false,-1.0,dlg 150: ,
485794,372898,false,-1.0,dlg 151: ,
271977,216669,false,-1.0,dlg 152: ,
509172,387723,false,-1.0,dlg 153: ,
485794,365486,false,-1.0,dlg 154: ,
2620551,299344,false,-1.0,dlg 155: ,
278818,207545,false,-1.0,dlg 156: ,
496627,352372,false,-1.0,dlg 157: ,
452723,391144,false,-1.0,dlg 158: ,
291362,238905,false,-1.0,dlg 159: ,
518294,342679,false,-1.0,dlg 160: ,
3376040,256581,false,-1.0,dlg 161: ,
920272,346669,false,-1.0,dlg 162: ,
416232,284520,false,-1.0,dlg 163: ,
295924,209256,false,-1.0,dlg 164: ,
433907,257152,false,-1.0,dlg 165: ,
465838,235485,false,-1.0,dlg 166: ,
270265,203555,false,-1.0,dlg 167: ,
305616,247458,false,-1.0,dlg 168: ,
443031,348951,false,-1.0,dlg 169: ,
271976,201844,false,-1.0,dlg 170: ,
492636,348381,false,-1.0,dlg 171: ,
573032,926544,false,-1.0,dlg 172: ,
455574,203554,false,-1.0,dlg 173: ,
700182,383731,false,-1.0,dlg 174: ,
498908,345530,false,-1.0,dlg 175: ,
466408,349521,false,-1.0,dlg 176: ,
443601,464127,false,-1.0,dlg 177: ,
275397,203554,false,-1.0,dlg 178: ,
266845,201274,false,-1.0,dlg 179: ,
466408,429916,false,-1.0,dlg 180: ,
461847,620357,false,-1.0,dlg 181: ,
468688,387152,false,-1.0,dlg 182: ,
3496918,356933,false,-1.0,dlg 183: ,
3594419,1086194,false,-1.0,dlg 184: ,
731542,371758,false,-1.0,dlg 185: ,
511452,372899,false,-1.0,dlg 186: ,
444171,370047,false,-1.0,dlg 187: ,
480662,346670,false,-1.0,dlg 188: ,
525136,746937,false,-1.0,dlg 189: ,
264564,202414,false,-1.0,dlg 190: ,
519435,400266,false,-1.0,dlg 191: ,
919701,340969,false,-1.0,dlg 192: ,
404828,206976,false,-1.0,dlg 193: ,
581014,391714,false,-1.0,dlg 194: ,
660269,3768895,false,-1.0,dlg 195: ,
579303,347240,false,-1.0,dlg 196: ,
360354,214958,false,-1.0,dlg 197: ,
281099,141975,false,-1.0,dlg 198: ,
265134,210397,false,-1.0,dlg 199: ,
206405,283950,false,-1.0,dlg 200: ,
465267,346670,false,-1.0,dlg 201: ,
459565,352942,false,-1.0,dlg 202: ,
267985,214958,false,-1.0,dlg 203: ,
723559,2832657,false,-1.0,dlg 204: ,
474960,604962,false,-1.0,dlg 205: ,
521145,422503,false,-1.0,dlg 206: ,
440750,327283,false,-1.0,dlg 207: ,
1213344,378600,false,-1.0,dlg 208: ,
562768,379741,false,-1.0,dlg 209: ,
279959,139124,false,-1.0,dlg 210: ,
747507,345530,false,-1.0,dlg 211: ,
5233688,293643,false,-1.0,dlg 212: ,
344960,203554,false,-1.0,dlg 213: ,
449302,337547,false,-1.0,dlg 214: ,
437899,340398,false,-1.0,dlg 215: ,
452153,328424,false,-1.0,dlg 216: ,
3285381,2315504,false,-1.0,dlg 217: ,
488645,567329,false,-1.0,dlg 218: ,
416232,317020,false,-1.0,dlg 219: ,
338118,206405,false,-1.0,dlg 220: ,
406539,200704,false,-1.0,dlg 221: ,
593558,908297,false,-1.0,dlg 222: ,
252020,192151,false,-1.0,dlg 223: ,
465267,376320,false,-1.0,dlg 224: ,
448162,333555,false,-1.0,dlg 225: ,
409389,315880,false,-1.0,dlg 226: ,
441890,3772315,false,-1.0,dlg 227: ,
733252,933956,false,-1.0,dlg 228: ,
345529,201273,false,-1.0,dlg 229: ,
260002,197282,false,-1.0,dlg 230: ,
460136,461846,false,-1.0,dlg 231: ,
425355,447592,false,-1.0,dlg 232: ,
949922,315880,false,-1.0,dlg 233: ,
417943,305047,false,-1.0,dlg 234: ,
2568664,342108,false,-1.0,dlg 235: ,
428206,347810,false,-1.0,dlg 236: ,
430487,321582,false,-1.0,dlg 237: ,
405399,466978,false,-1.0,dlg 238: ,
237195,204694,false,-1.0,dlg 239: ,
340398,325003,false,-1.0,dlg 240: ,
475530,352371,false,-1.0,dlg 241: ,
476671,313600,false,-1.0,dlg 242: ,
455575,720708,false,-1.0,dlg 243: ,
1878745,745797,false,-1.0,dlg 244: ,
281669,128291,false,-1.0,dlg 245: ,
2694674,306187,false,-1.0,dlg 246: ,
237195,197852,false,-1.0,dlg 247: ,
341538,337547,false,-1.0,dlg 248: ,
420793,347810,false,-1.0,dlg 249: ,
221230,187020,false,-1.0,dlg 250: ,
408250,309038,false,-1.0,dlg 251: ,
401408,346100,false,-1.0,dlg 252: ,
413951,340398,false,-1.0,dlg 253: ,
407680,328424,false,-1.0,dlg 254: ,
1147774,415662,false,-1.0,dlg 255: ,
981281,202984,false,-1.0,dlg 256: ,
386582,307328,false,-1.0,dlg 257: ,
3246608,350661,false,-1.0,dlg 258: ,
402548,307328,false,-1.0,dlg 259: ,
364916,222370,false,-1.0,dlg 260: ,
466978,12562221,false,-1.0,dlg 261: ,
381450,616935,false,-1.0,dlg 262: ,
441890,310178,false,-1.0,dlg 263: ,
523426,316451,false,-1.0,dlg 264: ,
583295,329564,false,-1.0,dlg 265: ,
419082,319302,false,-1.0,dlg 266: ,
425354,287371,false,-1.0,dlg 267: ,
5065485,539961,false,-1.0,dlg 268: ,
433907,357503,false,-1.0,dlg 269: ,
370048,283950,false,-1.0,dlg 270: ,
433337,342109,false,-1.0,dlg 271: ,
466408,344959,false,-1.0,dlg 272: ,
